"lang"
{
	"Language"		"SChinese"
"npc_boss_treant"                     "Treant (Boss)"


"DOTA_Tooltip_ability_custom_overgrowth"						"Overgrowth"
"DOTA_Tooltip_ability_custom_overgrowth_Description"			"Summons an overgrowth of vines and branches around Treant that prevent afflicted enemies from moving, blinking, going invisible, or attacking."
"DOTA_Tooltip_ability_custom_overgrowth_Lore"					"Rooftrellen calls the ancestral spirit of nature, releasing its power through all of his kin."
"DOTA_Tooltip_ability_custom_overgrowth_Note0"					"Works on Spell Immune units, but if units gain spell immunity after the effect starts, they'll break free."
"DOTA_Tooltip_ability_custom_overgrowth_Note1"					"Being entangled by Overgrowth through enchanted trees from Eyes of the Forest does damage. Being entangled by Overgrowth directly from Treant Protector does not."
"DOTA_Tooltip_ability_custom_overgrowth_duration"				"DURATION:"
"DOTA_Tooltip_ability_custom_overgrowth_radius"					"RADIUS:"


"DOTA_Tooltip_ability_custom_primal_roar"									"Primal Roar"
"DOTA_Tooltip_ability_custom_primal_roar_Description"						"Beastmaster lets loose a deafening roar that stuns, and shoves open a path to its target. All units in the path of the roar are damaged, while units shoved aside by the roar have their movement and attack speed slowed. Additionally, Beastmaster and his units gain 30% movement speed for 3 seconds.

Upgradable by Aghanim's Scepter."
"DOTA_Tooltip_ability_custom_primal_roar_Lore"								"The Beastmaster has learned to channel his primal instincts into an animalistic roar, causing devastation in the ranks of enemies."
"DOTA_Tooltip_ability_custom_primal_roar_Note0"							    "The stun will hit Spell Immune units. The damage will not."
"DOTA_Tooltip_ability_custom_primal_roar_duration"							"STUN DURATION:"
"DOTA_Tooltip_ability_custom_primal_roar_damage"							"DAMAGE:"
"DOTA_Tooltip_ability_custom_primal_roar_slow_duration"					    "SLOW DURATION:"
"DOTA_Tooltip_ability_custom_primal_roar_damage_radius"					    "SHOUT WIDTH:"
"DOTA_Tooltip_ability_custom_primal_roar_slow_movement_speed_pct"			"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_custom_primal_roar_slow_attack_speed_pct"			    "ATTACK SLOW:"


"DOTA_Tooltip_ability_custom_inner_beast"									"Inner Beast"
"DOTA_Tooltip_ability_custom_inner_beast_Description"						"Untaps the inner fury of allies, passively increasing their attack speed."
"DOTA_Tooltip_ability_custom_inner_beast_Lore"								"Beastmaster's ability to incite the innate strength of animals was seen in the mauling of the king of Slom."
"DOTA_Tooltip_ability_custom_inner_beast_radius"							"RADIUS:"
"DOTA_Tooltip_ability_custom_inner_beast_bonus_attack_speed"				"BONUS ATTACK SPEED:"
"npc_boss_troll"                     "Troll (Boss)"



"npc_boss_undying"                     "Undying (Boss)"

"DOTA_Tooltip_ability_custom_incapacitating_bite"							"Incapacitating Bite"
"DOTA_Tooltip_ability_custom_incapacitating_bite_Description"				"Undying's venom cripples enemy units, causing attacks to slow and giving the affected unit a chance to miss its attacks."
"DOTA_Tooltip_ability_custom_incapacitating_bite_Note0"					"The miss chance stacks with evasion and terrain dodge chance."
"DOTA_Tooltip_ability_custom_incapacitating_bite_miss_chance"				"%MISS CHANCE:"
"DOTA_Tooltip_ability_custom_incapacitating_bite_bonus_movespeed"			"%MOVE SLOW:"
"DOTA_Tooltip_ability_custom_incapacitating_bite_duration"			"DURATION:"	

"npc_boss_ursa"                     "Ursa (Boss)"


"DOTA_Tooltip_ability_custom_fury_swipes"										"Fury Swipes"
"DOTA_Tooltip_ability_custom_fury_swipes_Lore"									"In nature, the wounded rarely survive the attacks of hungry predators."
"DOTA_Tooltip_ability_custom_fury_swipes_Description"							"Ursa's claws dig deeper wounds in the enemy, causing consecutive attacks to the same enemy to deal more damage.  If the same target is not attacked after 20 seconds, the bonus damage is lost."
"DOTA_Tooltip_ability_custom_fury_swipes_damage_per_stack"						"DAMAGE PER ATTACK:"
"DOTA_Tooltip_ability_custom_fury_swipes_bonus_reset_time"						"RESET TIME:"

"npc_boss_weaver"                     "Weaver (Boss)"
"DOTA_Tooltip_ability_weaver_envenomed_attack"								"Envenomed Attack"
"DOTA_Tooltip_ability_weaver_envenomed_attack_Description"					"Weaver's attacks are infused with crippling venom. Heroes recover from the poison more quickly."
"DOTA_Tooltip_ability_weaver_envenomed_attack_damage_per_second"			"DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_weaver_envenomed_attack_non_hero_duration"			"DURATION:"
"DOTA_Tooltip_ability_weaver_envenomed_attack_hero_duration"				"HERO DURATION:"
"DOTA_Tooltip_ability_weaver_envenomed_attack_regen_reduction"				"%REGEN REDUCTION:"

"npc_boss_wisp"                     "Wisp (Boss)" 
"DOTA_Tooltip_ability_custom_black_hole_wisp"							"Black Hole"
"DOTA_Tooltip_ability_custom_black_hole_wisp_Description"				"Summons a vortex that sucks in nearby enemy units."
"DOTA_Tooltip_ability_custom_black_hole_wisp_far_damage"								"DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_custom_black_hole_wisp_far_radius"								"RADIUS:"
"DOTA_Tooltip_ability_custom_black_hole_wisp_duration"					"DURATION:"

"DOTA_Tooltip_ability_enigma_black_hole_duration"								"DURATION:"
"DOTA_Tooltip_ability_wisp_ice_shards"							"Ice Shards"
"DOTA_Tooltip_ability_wisp_ice_shards_Description"				"Wisp compresses shards of ice into a ball of frozen energy that damages all enemies it comes in contact with. When the ball reaches its target destination the shards are released, creating a barrier that lasts for %shard_duration% seconds."
"DOTA_Tooltip_ability_wisp_ice_shards_shard_width"				"RADIUS:"
"DOTA_Tooltip_ability_wisp_ice_shards_shard_damage"				"SHARD DAMAGE:"
"DOTA_Tooltip_ability_wisp_ice_shards_shard_duration"			"SHARD DURATION:"
"DOTA_Tooltip_ability_wisp_ice_shards_abilitycastrange"			"CAST RANGE:"


"DOTA_Tooltip_ability_custom_shadow_blast_wisp"							"Godlike Blast"
"DOTA_Tooltip_ability_custom_shadow_blast_wisp_Description"				"Fires a blast in a line that deals damage, slows, any targets they hit."
"DOTA_Tooltip_ability_custom_shadow_blast_wisp_damage_pct"				"%DAMAGE PERCENT"
"DOTA_Tooltip_ability_custom_shadow_blast_wisp_duration"					"DURATION:"
"DOTA_Tooltip_ability_custom_shadow_blast_wisp_move_slow_tooltip"		"%MOVE SLOW"
"DOTA_Tooltip_modifier_shadow_blast_wisp"								"Shadow Blast"
"DOTA_Tooltip_modifier_shadow_blast_wisp_Description"					"Movespeed slowed by 30%%."
"DOTA_Tooltip_ability_custom_soul_releaser"							"Soul Release"
"DOTA_Tooltip_ability_custom_soul_releaser_Description"				"Releases 3 bursts of souls in a circle around the caster, each burst with less radius. Targets take damage and are slowed."
"DOTA_Tooltip_ability_custom_soul_releaser_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_custom_soul_releaser_duration"					"SLOW DURATION:"
"DOTA_Tooltip_ability_custom_soul_releaser_slow_tooltip"				"%SLOW:"

"DOTA_Tooltip_ability_custom_wisp_reincarnation"								"Worldshapers"
"DOTA_Tooltip_ability_custom_wisp_reincarnation_Description"					"Wisp releases three Worldsmiths on death."

"npc_boss_witch_doctor"                     "Witch Doctor (Boss)"


"DOTA_Tooltip_ability_custom_paralyzing_cask"								"Paralyzing Cask"
"DOTA_Tooltip_ability_custom_paralyzing_cask_Description"					"Launches a cask of paralyzing powder that ricochets between enemy units, stunning and damaging those it hits."
"DOTA_Tooltip_ability_custom_paralyzing_cask_Lore"						    "The Witch Doctor recycles the bones of fallen friends and foes, using the powder as part of his arsenal of charms and alchemy."
"DOTA_Tooltip_ability_custom_paralyzing_cask_Note0"						    "Targets can be hit multiple times, as long as another unit is struck in between the bounces."
"DOTA_Tooltip_ability_custom_paralyzing_cask_bounces_tooltip"				"BOUNCES:"
"DOTA_Tooltip_ability_custom_paralyzing_cask_hero_duration"				    "HERO STUN DURATION:"
"DOTA_Tooltip_ability_custom_paralyzing_cask_hero_damage"					"HERO DAMAGE:"

"DOTA_Tooltip_ability_custom_maledict"									"Maledict"
"DOTA_Tooltip_ability_custom_maledict_Description"						"Curses all enemy Heroes in a small area, causing them to take a set amount of damage each second, as well as bursts of damage every 4 seconds based on how much health they have lost since the curse began."
"DOTA_Tooltip_ability_custom_maledict_Lore"								"Certain voodoo magics can make an enemy regret engaging the Witch Doctor."
"DOTA_Tooltip_ability_custom_maledict_Note0"								"If an affected hero's health has increased above the amount they had when Maledict was cast, the burst damage will be 0."
"DOTA_Tooltip_ability_custom_maledict_abilityduration"					"DURATION:"
"DOTA_Tooltip_ability_custom_maledict_radius"								"RADIUS:"
"DOTA_Tooltip_ability_custom_maledict_bonus_damage"						"%LOST HEALTH BURST DAMAGE:"
		
"DOTA_Tooltip_ability_custom_death_ward"									"Death Ward"
"DOTA_Tooltip_ability_custom_death_ward_Description"						"CHANNELED - Summons a deadly ward to attack enemy heroes within 700 range. Lasts a maximum of 8 seconds.

Upgradable by Aghanim's Scepter."
"DOTA_Tooltip_ability_custom_death_ward_Lore"								"Witch Doctor performs a ritualistic dance, one that haunts the dreams of those who live to recount it."
"DOTA_Tooltip_ability_custom_death_ward_Note0"							    "The Death Ward is invulnerable, and is only destroyed if Witch Doctor is interrupted or its duration expires."
"DOTA_Tooltip_ability_custom_death_ward_Note1"							    "The Death Ward can be controlled, and made to attack a specific target."
"DOTA_Tooltip_ability_custom_death_ward_Note2"							    "Death Ward attacks once every 0.22 seconds."
"DOTA_Tooltip_ability_custom_death_ward_damage"							    "DAMAGE:"

"npc_boss_winter_wyvern"								"Winter Wyvern (Boss)"
"DOTA_Tooltip_ability_custom_arctic_burn"						"Arctic Burn"
"DOTA_Tooltip_ability_custom_arctic_burn_Description"			"Winter Wyvern soars upon an arctic wind, granting her unobstructed movement and allowing her to exhale a blistering chill into each attack. While soaring, her attacks travel further and faster, and slow enemies with a magical freeze that strips them of %percent_damage%%% of their current health each second. Her sight is also hardened against night's chill, granting her %night_vision_bonus% additional vision range at night while soaring.

Upgradable by Aghanim's Scepter."
"DOTA_Tooltip_ability_custom_arctic_burn_Lore"					"The same organ where some dragons stoke their inner flame is, in Auroth, a crucible of unimaginable cold. From deep within her frosty gullet, an exhalation sends enemies into burning agony."
"DOTA_Tooltip_ability_custom_arctic_burn_duration"				"FLIGHT DURATION:"	
"DOTA_Tooltip_ability_custom_arctic_burn_attack_range_bonus"		"BONUS ATTACK RANGE:"				
"DOTA_Tooltip_ability_custom_arctic_burn_percent_damage"			"%HEALTH BURN:"	
"DOTA_Tooltip_ability_custom_arctic_burn_move_slow"				"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_custom_arctic_burn_damage_duration"		"BURN DURATION:"
"DOTA_Tooltip_ability_custom_arctic_burn_night_vision_bonus"		"ADDED NIGHT VISION RANGE:"
"DOTA_Tooltip_ability_custom_arctic_burn_mana_cost_scepter"		"SCEPTER MANA PER SECOND:"

"DOTA_Tooltip_ability_custom_splinter_blast"						"Splinter Blast"
"DOTA_Tooltip_ability_custom_splinter_blast_Description"			"Launches a ball of brittle ice toward an enemy. The ice shatters on impact, leaving the primary target completely unaffected, while hurling damaging splinters into nearby enemies in a %split_radius% radius. Enemies struck by these splinters are slowed by %movespeed_slow_tooltip%%%."
"DOTA_Tooltip_ability_custom_splinter_blast_Lore"				"Produced slowly by specialized vesicles in her frozen gullet, Winter Wyvern blast shards of ice at her enemies."
"DOTA_Tooltip_ability_custom_splinter_blast_split_radius"		"SHATTER RADIUS:"
"DOTA_Tooltip_ability_custom_splinter_blast_movespeed_slow_tooltip"		"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_custom_splinter_blast_duration"			"SLOW DURATION:"	

"npc_boss_worldsmith"                     "Worldsmith (Boss)"
"npc_stone_spire"                     "Stone Spire (Boss)"
"DOTA_Tooltip_ability_custom_ground_smash"							"Ground Smash"
"DOTA_Tooltip_ability_custom_ground_smash_Description"				"Slams the ground with immense force, dealing damage to enemies based on their max health."
"DOTA_Tooltip_ability_custom_ground_smash_damage_pct"				"%DAMAGE PERCENT:"
"DOTA_Tooltip_ability_custom_ground_smash_stun_duration"			"STUN DURATION:"
"DOTA_Tooltip_ability_custom_shifting_quake"						"Shifting Quake"
"DOTA_Tooltip_ability_custom_shifting_quake_Description"			"Creates a quake that expands outward in a line, dealing damage over time and stunning enemies. Damage is based on target's current health."
"DOTA_Tooltip_ability_custom_shifting_quake_damage_pct"				"%DAMAGE PERCENT:"
"DOTA_Tooltip_ability_custom_shifting_quake_stun_duration"			"STUN DURATION:"
"DOTA_Tooltip_ability_custom_rock_hard"								"Rock Hard"
"DOTA_Tooltip_ability_custom_rock_hard_Description"					"The Worldsmith turns his body rock hard, reflecting damage dealt to him back to the attacker."
"DOTA_Tooltip_ability_custom_rock_hard_reflect"						"%REFLECT:"
"DOTA_Tooltip_ability_custom_rock_hard_duration"					"DURATION:"
"DOTA_Tooltip_modifier_rock_hard"									"Rock Hard"
"DOTA_Tooltip_modifier_rock_hard_Description"						"Reflecting damage back to the attacker."
"DOTA_Tooltip_modifier_rock_hard_initial"									"Watch the fuck out"
"DOTA_Tooltip_modifier_rock_hard_initial_Description"						"Why are you reading this"
"DOTA_Tooltip_ability_custom_earth_splitter"						"Earth Splitter"
"DOTA_Tooltip_ability_custom_earth_splitter_damage_pct"				"%DAMAGE PERCENT:"
"DOTA_Tooltip_ability_custom_stone_spire"							"Stone Spire"
"DOTA_Tooltip_ability_custom_stone_spire_Description"				"Plants a Stone Spire near the caster. The Stone Spire hurls boulders at enemies and surrounds itself with trembling shockwaves."
"DOTA_Tooltip_ability_custom_stone_spire_duration"					"DURATION"
"DOTA_Tooltip_ability_custom_trembling_waves"						"Trembling Shockwave"
"DOTA_Tooltip_ability_custom_trembling_waves_Description"			"The caster releases constant shockwaves that deals damage and knocks back enemies."
"DOTA_Tooltip_ability_custom_trembling_waves_damage"				"DAMAGE:"
"DOTA_Tooltip_ability_custom_trembling_waves_interval"				"INTERVAL:"
"DOTA_Tooltip_ability_custom_trembling_waves_radius"				"RADIUS:"
"npc_boss_zeus"                     "Zeus (Boss)"


"DOTA_Tooltip_ability_custom_arc_lightning"										"Arc Lightning"
"DOTA_Tooltip_ability_custom_arc_lightning_Description"							"Hurls a bolt of lightning that leaps through nearby enemy units."
"DOTA_Tooltip_ability_custom_arc_lightning_Lore"								"Arc Lightning is Zeus' favorite spell to use against puny mortals."
"DOTA_Tooltip_ability_custom_arc_lightning_jump_count"							"JUMPS:"
"DOTA_Tooltip_ability_custom_arc_lightning_arc_damage"							"DAMAGE:"


"DOTA_Tooltip_ability_custom_lightning_bolt"									"Lightning Bolt"
"DOTA_Tooltip_ability_custom_lightning_bolt_Description"						"Calls down a bolt of lightning to strike an enemy unit, causing damage and a mini-stun. When cast, Lightning Bolt briefly provides unobstructed vision and True Sight around the target in a 750 radius. Can be cast on the ground, affecting the closest enemy hero in %spread_aoe% range."
"DOTA_Tooltip_ability_custom_lightning_bolt_cast_range_tooltip"					"CAST RANGE:"
"DOTA_Tooltip_ability_custom_lightning_bolt_sight_radius_day"					"SIGHT RADIUS:"
"DOTA_Tooltip_ability_custom_lightning_bolt_sight_duration"						"SIGHT DURATION:"
"DOTA_Tooltip_ability_custom_lightning_bolt_Lore"								"A shocking punishment for rebellious heathen."
"DOTA_Tooltip_ability_custom_lightning_bolt_Note0"								"You can interrupt channeling spells and items with this ability."


"DOTA_Tooltip_ability_custom_static_field"										"Static Field"
"DOTA_Tooltip_ability_custom_static_field_Description"							"Zeus shocks all nearby enemy units whenever he casts a spell, causing damage proportional to their current health."
"DOTA_Tooltip_ability_custom_static_field_Lore"									"The air crackles with static when the Thundergod walks the world."
"DOTA_Tooltip_ability_custom_static_field_Note0"								"The damage from Static Field is dealt before the damage from the used spell."
"DOTA_Tooltip_ability_custom_static_field_Note1"								"Using items doesn't trigger Static Field."
"DOTA_Tooltip_ability_custom_static_field_Note2"								"Does not require unit visibility to take effect."
"DOTA_Tooltip_ability_custom_static_field_damage_health_pct"					"%HEALTH REDUCTION:"
"DOTA_Tooltip_ability_custom_static_field_radius"								"RANGE:"

"DOTA_Tooltip_modifier_custom_zeus_revenge_debuff"                   "Nip In The Air"
"DOTA_Tooltip_modifier_custom_zeus_revenge_debuff_Description"       "Why are you reading me?"

"DOTA_Tooltip_modifier_custom_zeus_revenge_buff"                   "Charged"
"DOTA_Tooltip_modifier_custom_zeus_revenge_buff_Description"       "Lightning courses through your veins."

"DOTA_Tooltip_Ability_custom_greased_lightning"				    "Greased Lightning"
"DOTA_Tooltip_Ability_custom_greased_lightning_Description"       "Damage taken that exceeds 1.9% of Zeus's health charges his mana bar by 4x his lost health percentage. Upon fully charging zeus will retaliate with a massive lightning strike on one hero."
"DOTA_Tooltip_Ability_custom_greased_lightning_Note0"            "If the target survives it will gain a temporary massive stat boost."
"DOTA_Tooltip_Ability_custom_greased_lightning_damage"            "Damage:"


"npc_boss_zombie"                     "Zombie (Boss)"

"DOTA_Tooltip_ability_custom_zombie_deathstrike"		"Deathlust"
"DOTA_Tooltip_ability_custom_zombie_deathstrike_Description"		"Slows enemy units on attack.  If the attacked unit's health goes below the threshold, the zombie receives enhanced movement and attack speed."
"DOTA_Tooltip_ability_custom_zombie_deathstrike_health_threshold"	"HEALTH THRESHOLD BY NUMBER:"
"DOTA_Tooltip_ability_custom_zombie_deathstrike_health_threshold_pct"	"%HEALTH THRESHOLD BY PERCENT:"
"DOTA_Tooltip_ability_custom_zombie_deathstrike_duration"			"SLOW DURATION:"
"DOTA_Tooltip_ability_custom_zombie_deathstrike_slow"				"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_custom_zombie_deathstrike_bonus_move_speed"			"%BONUS MOVE SPEED:"
"DOTA_Tooltip_ability_custom_zombie_deathstrike_bonus_attack_speed"			"BONUS ATTACK SPEED:"


"npc_bristle_large"                     "Bristle Large (Boss)"




// The modifier should only be in one file.
"DOTA_Tooltip_modifier_custom_quill_spray_debuff"					"Quill Stack"
"DOTA_Tooltip_modifier_custom_quill_spray_debuff_Description"		"Receiving more damage from Quill Spray."


"DOTA_Tooltip_ability_custom_quill_spray"							"Last Quill"
"DOTA_Tooltip_ability_custom_quill_spray_Description"				"Lauches a Quill Spray when this unit dies."


"DOTA_Tooltip_ability_bristle_split_medium"                         "Split"
"DOTA_Tooltip_ability_bristle_split_medium_Description"             "When this unit dies, it will split into smaller parts."

"npc_bristle_medium"                     "Bristle Medium (Boss)"


"DOTA_Tooltip_ability_bristle_split_small"                         "Split"
"DOTA_Tooltip_ability_bristle_split_small_Description"             "When this unit dies, it will split into smaller parts."
"npc_bristle_small"                     "Bristle Small (Boss)"
"npc_custom_wolf"                     "Custom Wolf (Boss)"
"npc_dummy_unit"                     "Dummy Unit (Boss)"

"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace"					"Firestorm"
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_Description"		"Calls down waves of fire that damage enemy units in the target area, burning for additional damage over time."
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_Lore"				"The flames of conquest blaze forth from the darkest depths of the abyss."
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_radius"			"RADIUS:"
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_wave_count"		"WAVE COUNT:"
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_wave_damage"		"WAVE DAMAGE:"
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_wave_interval"	"WAVE INTERVAL"
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_burn_damage"		"%MAX HP BURN DAMAGE:"
"DOTA_Tooltip_ability_abyssal_underlord_firestorm_replace_burn_duration"	"BURN DURATION:"

"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_replace"				"Pit of Malice"
"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_replace_Description"	"A deadly pit is conjured at the target location; any unit that enters will be rooted. Each enemy unit within the pit are affected every %pit_interval% seconds."
"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_replace_Lore"			"Twisting into the seams of reality itself, Vrogros' manifest hatred paralyzes those who defy his will."
"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_replace_radius"		"RADIUS:"
"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_replace_pit_duration"	"PIT DURATION:"
"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_replace_pit_interval"	"DISABLE INTERVAL:"
"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_replace_ensnare_duration"	"DISABLE DURATION:"

"DOTA_Tooltip_ability_abyssal_underlord_custom_dark_rift"						    "<font color='#f2da5b'>Unstable Rift</font>"
"DOTA_Tooltip_ability_abyssal_underlord_custom_dark_rift_Description"			    "Opens an unstable rift at a target hero's location, increasing its primary attribute by %primary_stat_percent%%% and storing the stats of all nearby heroes. After a delay, explodes spreading damage evenly over all enemies hit. Cooldown is %cooldown_reduce% seconds lower when cast on allies.
 Passively increases Underlord's primary attribute by %primary_stat_percent%%%"
"DOTA_Tooltip_ability_abyssal_underlord_custom_dark_rift_duration"					"DURATION:"
"DOTA_Tooltip_ability_abyssal_underlord_custom_dark_rift_stat_damage_pct_tooltip"			"DAMAGE PER STAT:"
"DOTA_Tooltip_ability_abyssal_underlord_custom_dark_rift_radius"					"RADIUS:"
"DOTA_Tooltip_ability_abyssal_underlord_custom_dark_rift_aghanim_description"		"Dark Bomb will immediately cast Pit of Malice and Firestorm on explosion."


"DOTA_Tooltip_modifier_abyssal_underlord_custom_dark_rift"                        "Unstable Rift"
"DOTA_Tooltip_modifier_abyssal_underlord_custom_dark_rift_Description"            "An unstable rift is increasing this unit's primary attribute."

"DOTA_Tooltip_ability_antimage_custom_mana_break"						"<font color='#f2da5b'>Mana Break</font>"
"DOTA_Tooltip_ability_antimage_custom_mana_break_Description"			"Burns an opponent's mana on each attack.  Mana Break deals %mana_burn_as_damage%%%  of the mana burned as damage to the target."
"DOTA_Tooltip_ability_antimage_custom_mana_break_Lore"					"A modified technique of the Turstarkuri monks' peaceful ways is to turn magical energies on their owner."
"DOTA_Tooltip_ability_antimage_custom_mana_break_Note0"					"Mana Burn is blocked by spell immunity."
"DOTA_Tooltip_ability_antimage_custom_mana_break_Note1"					"You can lifeleech the damage dealt by this skill with a Lifesteal aura."
"DOTA_Tooltip_ability_antimage_custom_mana_break_mana_per_hit"			"MANA BURNED PER HIT:"
"DOTA_Tooltip_ability_antimage_custom_mana_break_mana_pct"				"%MANA BURN PERCENTAGE:"

"DOTA_Tooltip_ability_antimage_custom_speed"						"<font color='#f2da5b'>Extreme Speed</font>"
"DOTA_Tooltip_ability_antimage_custom_speed_Description"			"Significantly lowers Anti-Mage's base attack time for a short period, and tremendously increases his movespeed. Is cast automatically while attacking, and deals magic damage on activation."
"DOTA_Tooltip_ability_antimage_custom_speed_Lore"					"After bringing enemies to their knees, Anti-Mage punishes them for their use of the arcane arts."
"DOTA_Tooltip_ability_antimage_custom_speed_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_antimage_custom_speed_duration"					"DURATION:"
"DOTA_Tooltip_ability_antimage_custom_speed_base_attack_time"			"BASE ATTACK TIME:"
"DOTA_Tooltip_modifier_antimage_custom_speed_active"					"Extreme Speed"
"DOTA_Tooltip_modifier_antimage_custom_speed_active_Description"					"Temporarily has lowered base attack time and moves faster."

"DOTA_Tooltip_ability_axe_custom_counter_helix"										"Counter Helix"
"DOTA_Tooltip_ability_axe_custom_counter_helix_Description"							"When attacked, Axe has a chance to perform a helix counter attack, dealing pure damage to all nearby enemies. Damage is divided evenly among enemies."
"DOTA_Tooltip_ability_axe_custom_counter_helix_Note0"									"Counter Helix triggers when the attack hits."
"DOTA_Tooltip_ability_axe_custom_counter_helix_Lore"									"Axe is the only reinforcement this army needs."
"DOTA_Tooltip_ability_axe_custom_counter_helix_damage"									"DAMAGE:"
"DOTA_Tooltip_ability_axe_custom_counter_helix_radius"									"RADIUS:"
"DOTA_Tooltip_ability_axe_custom_counter_helix_trigger_chance"							"%CHANCE TO HELIX:"
"DOTA_Tooltip_ability_axe_custom_counter_helix_health_ratio"							"%HEALTH RATIO:"

"DOTA_Tooltip_ability_axe_custom_last_cleave"									"<font color='#f2da5b'>Culling Blade</font>"
"DOTA_Tooltip_ability_axe_custom_last_cleave_Description"						"Axe spots a weakness and strikes, dealing damage that increases with his strength. Whenever an ally hero dies, Culling Blade's cooldown is refreshed.

Upgradeable by Aghanim's Scepter."
"DOTA_Tooltip_ability_axe_custom_last_cleave_Lore"								"Mogul Khan is the embodiment of battle and fury, launching into a gruesome fatality against those who dare engage the Axe in combat."
"DOTA_Tooltip_ability_axe_custom_last_cleave_base_damage"					    "BASE DAMAGE:"
"DOTA_Tooltip_ability_axe_custom_last_cleave_str_multiply"					    "STRENGTH MULTIPLIER:"
"DOTA_Tooltip_ability_axe_custom_last_cleave_aghanim_description"		        "Culling Blade deals pure damage."
"DOTA_Tooltip_Ability_faceless_void_backtrack"						"Backtrack"
"DOTA_Tooltip_Ability_faceless_void_backtrack_Description"			"Faceless Void's reflexes can sense danger before they occur, allowing him to avoid incoming damage."
"DOTA_Tooltip_Ability_faceless_void_backtrack_lore"					"Darkterror's 6th sense sees what has yet to be seen."
"DOTA_Tooltip_Ability_faceless_void_backtrack_dodge_chance_pct"		"%Chance:"

"DOTA_Tooltip_ability_bloodseeker_custom_thirst"								"<font color='#f2da5b'>Thirst</font>"
"DOTA_Tooltip_ability_bloodseeker_custom_thirst_Description"					"Bloodseeker either regenerates health or deals bonus pure damage based on his attack damage while taking damage equal to the regeneration."
"DOTA_Tooltip_ability_bloodseeker_custom_thirst_health_regen_percent"					        "%DAMAGE AS REGEN:"
"DOTA_Tooltip_ability_bloodseeker_custom_thirst_proc_damage"				"%DAMAGE AS PURE DAMAGE:"


"DOTA_Tooltip_Ability_bloodseeker_custom_rampage"								"<font color='#f2da5b'>Rampage</font>"
"DOTA_Tooltip_Ability_bloodseeker_custom_rampage_Description"					"Bloodseeker empowers his weapons with his own blood, dealing more damage but capping his max life."
"DOTA_Tooltip_Ability_bloodseeker_custom_rampage_duration"				        "DURATION:"
"DOTA_Tooltip_Ability_bloodseeker_custom_rampage_increased_damage"			    "%BONUS DAMAGE:"
"DOTA_Tooltip_Ability_bloodseeker_custom_rampage_max_hp"			            "%HEALTH CAP:"


"DOTA_Tooltip_modifier_bloodseeker_custom_rampage"                              "Rampage"
"DOTA_Tooltip_modifier_bloodseeker_custom_rampage_Description"                  "Damage increased, health sealed."
"DOTA_Tooltip_ability_bounty_hunter_custom_jinada"									"<font color='#f2da5b'>Jinada</font>"
"DOTA_Tooltip_ability_bounty_hunter_custom_jinada_Description"						"Bounty Hunter plans his next hit, stealing gold with it. Deals damage based on bounty hunter's current gold."
"DOTA_Tooltip_ability_bounty_hunter_custom_jinada_Lore"								"Whispering an enchantment he learned from Soruq to his faithful blades, Gondar targets vital tendons and joints to disable his opponents."
"DOTA_Tooltip_ability_bounty_hunter_custom_jinada_Note0"						"Gold gain is half effective on illusions."
"DOTA_Tooltip_ability_bounty_hunter_custom_jinada_gold_bonus"						"GOLD:"
"DOTA_Tooltip_ability_bounty_hunter_custom_jinada_gold_damage_pct"						"%GOLD TO DAMAGE:"


"DOTA_Tooltip_ability_centaur_custom_return"								"<font color='#f2da5b'>Return</font>"
"DOTA_Tooltip_ability_centaur_custom_return_Description"					"Centaur counters all attacks, dealing damage back to the attacker based on a percentage of Centaur's strength."
"DOTA_Tooltip_ability_centaur_custom_return_Lore"							"Bradwarden has no need to parry his opponent's attacks; his armor-like hide does it for him."
"DOTA_Tooltip_ability_centaur_custom_return_base_damage"					"DAMAGE:"
